ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
21,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
22,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
23,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
24,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
25,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
26,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
27,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
28,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
29,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
30,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
31,1A,"Straight - Fine, no curl pattern",Low Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
32,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
33,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
34,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
35,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
36,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
37,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
38,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
39,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
40,1A,"Straight - Fine, no curl pattern",Low Porosity,Sensitive Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
41,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
42,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
43,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
44,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
45,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
46,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
47,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
48,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
49,1A,"Straight - Fine, no curl pattern",Medium Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
50,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
51,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
52,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
53,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
54,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
55,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
56,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
57,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
58,1A,"Straight - Fine, no curl pattern",Medium Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
59,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
60,1A,"Straight - Fine, no curl pattern",Medium Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
